variable,value
Coding Experience,I have never and I do not plan to 
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,I have never but I want to learn in the future
Coding Experience,3-5 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,10-20 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,20-30 years
Coding Experience,10-20 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,10-20 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,3-5 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,I have never but I want to learn in the future
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,10-20 years
Coding Experience,30-40 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,10-20 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,10-20 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,10-20 years
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,10-20 years
Coding Experience,3-5 years
Coding Experience,I have never and I do not plan to 
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,10-20 years
Coding Experience,10-20 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,20-30 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,I have never but I want to learn in the future
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,10-20 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,10-20 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,30-40 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,10-20 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,I have never but I want to learn in the future
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,3-5 years
Coding Experience,20-30 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,3-5 years
Coding Experience,10-20 years
Coding Experience,5-10 years
Coding Experience,10-20 years
Coding Experience,< 1 year
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,3-5 years
Coding Experience,5-10 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,I have never but I want to learn in the future
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,10-20 years
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,I have never but I want to learn in the future
Coding Experience,3-5 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,10-20 years
Coding Experience,3-5 years
Coding Experience,10-20 years
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,5-10 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,5-10 years
Coding Experience,3-5 years
Coding Experience,1-2 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,30-40 years
Coding Experience,< 1 year
Coding Experience,1-2 years
Coding Experience,1-2 years
Coding Experience,3-5 years
